stop_id,stop_name,stop_lat,stop_lon
404,AGIL,35.6743604969746,10.094659334479957
412,ZONE INDUST,35.7001991271973,10.105899810791
416,HOPITAL-Urgences,35.68533729713615,10.095612108707428
417,TRAVAUX,35.6716003417969,10.0992002487183
420,ETTABEN,35.6605987548828,10.1101999282837
422,EL HAJJEM,35.6802,10.0858
425,ERRAHBA,35.68109549255416,10.098659098148346
429,Immeubles El Mansourah,35.650140768081253,10.084918141365051
432,BAB JEDID,35.6761016845703,10.1033000946045
433,BAB KHOUKHA,35.6792,10.104707
451,Lycee Okba& Ibn Jazzar/ mansoura,35.65456,10.086701
453,Stade Hamda El Aoueni,35.684547,10.072267
475,bir lahmar,35.8536987304688,10.0057001113892
490,ENNEDI,35.4790000915527,9.65410995483398
5,ZAAFRANA,35.5325012207031,10.0564002990723
