route_id,agency_id,route_short_name,route_long_name,route_type
723,SORETRAK,723,El Grine - Kairouan - Tunis,3
729,SORETRAK,729,SIDI SAAD - SFAX,3
741,SORETRAK,741,SIDI SAAD-KEF-JENDOUBA,3
753,SORETRAK,753,SIDI SAAD - KASSERINE/HADJEB,3
762,SORETRAK,762,KAI GABES,3
765,SORETRAK,765,TRANSPORT ELEVES ECOLE GARDE NAT GRINE,3
766,SORETRAK,766,SIDI SAAD - GAFSA VIA BOUZID,3
767,SORETRAK,767,  KAI  TUNIS  S-SAAD,3
768,SORETRAK,768,SIDI SAAD - KAIROUAN- SOUSSE,3
771,SORETRAK,771,Gafsa via Bir Lahfai,3
774,SORETRAK,774,SOUSSE -LE KEF VIA MAKTHAR,3
777,SORETRAK,777,SIDI SAAD-HAMMAMET-NABEUL,3
778,SORETRAK,778,KAI  S.SAAD  BOUZID,3
780,SORETRAK,780,KAI  S.SAAD,3
781,SORETRAK,781,RENFORT BAB ALIOUA,3
782,SORETRAK,782,KAI  BOUZID   S.SAAD,3
783,SORETRAK,783,TRANSPORT ELEVES SIDI SAAD,3
784,SORETRAK,784,TUNIS  KASSERINE,3
785,SORETRAK,785,KAI  S.SAAD  GABES,3
790,SORETRAK,790,KAIROUAN-MSAKEN-SOUSSE-DOUBLAGE,3
791,SORETRAK,791,KAI. NFIDHA NABEUL,3
794,SORETRAK,794,KAI . BOUHADJLA SFAX,3
810,SORETRAK,810,TUNIS FAHS EL ALAA,3
811,SORETRAK,811,TUNIS FAHS OUESLATIA,3
920,SORETRAK,920,CNR-ESSAID-GOUVT-TRIBUNAL,3
921,SORETRAK,921,ENNAS-TRAVX-IBN.RACH-RAHBA-GOUVET-TRIBUNAL,3
922,SORETRAK,922,TRIBUNAL-GVT-RAHBA-O.FARH-B.JEDID-ENNASR-MAN-M.ALI,3
1157,SORETRAK,1157, TOZEUR   TAMAGZA,3
1303,SORETRAK,1303,CNRL.MANS.ESSAID,3
1351,SORETRAK,1351,ZONE INDUSTRIELLE-MED ALI,3
1757,SORETRAK,1757,JBAL -MTK-IMM HAY ENNASR-RECTORAT,3
1758,SORETRAK,1758,RECTORAT-GARE ROUTIERE-HAY OKBA- HAY MED ALI-JBAL,3
1792,SORETRAK,1792,STADE JAWOIDI  L'AFH BABJDID,3
1793,SORETRAK,1793,JLALTA - BAB JDID RAHBA-HOPITAL,3
1794,SORETRAK,1794,MANSOURA - MSAHLI- AADAMI- HAJEM BAB JDID,3
2003,SORETRAK,2003,KAIROUAN KEF,3
2024,SORETRAK,2024,KAIROUAN-GRINE-SOUSSE-MONASTIR,3
2025,SORETRAK,2025,KAIROUAN-GRINE-NABEUL,3
2026,SORETRAK,2026,KAIROUAN-GRINE-JENDOUBA,3
2027,SORETRAK,2027,KAIROUAN-GRINE,3
2029,SORETRAK,2029,KAIROUAN-GRINE-GABES,3
